FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,274839,160965,108616,0,35006,0,0,0,0,0,0,0,0,0,0,OYAKC
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,13509034,15645473,14627225,46070144,20106256,18513645,17312901,39899694,25975510,25277066,25787666,39489003,32193579,36706003,37303146,OYAKC
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,OYAKC
2N,Özkaynaklar,SHAREHOLDERS EQUITY,218144947,229022633,243147574,992816990,436807127,393828073,467729683,1305480458,972212482,1101087986,1214754935,1619033459,1225406394,1298553818,1419302354,OYAKC
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,218144947,229022633,243147574,992816990,436807127,393828073,467729683,1305480458,972212482,1101087986,1214754935,1619033459,1225406394,1298553818,1419302354,OYAKC
2OA,Ödenmiş Sermaye,Share Capital,79093903,69484491,62515480,61915089,60444316,44832291,42288100,42269361,38541733,37906858,36468322,137553285,128500670,122114110,116918439,OYAKC
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,15980,14038,12630,50497,12212,9058,8544,46308,33651,35878,37595,48466,39730,40023,41196,OYAKC
2OCB,Değer Artış Fonları,Market Value Surpluses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,170648,129680,76204,-13239849,87506,81704,69103,-7902875,-7143694,-7754362,-8235039,-10664844,-5404663,-4640638,-3737809,OYAKC
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,27684719,24321200,21881882,235988823,21156926,15692352,14801826,216414171,157263050,167672603,175696606,226499041,185670174,187061299,192543315,OYAKC
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),111203327,91582300,82396968,115621230,314191503,229097107,216096060,300923648,507828122,541442273,567353090,731402467,676617576,681589680,701564702,OYAKC
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),15167273,52879879,84711690,471009466,53005540,110597760,200139132,397913124,24951632,90563706,155981417,254358948,26333082,90846238,175131497,OYAKC
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,-15190902,-9388956,-8447282,121471734,-12090876,-6482200,-5673082,355816720,250737988,271221030,287452944,244856864,213649826,221543107,236841014,OYAKC
2ODA,Azınlık Payları,Minority Interests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,369793034,420886945,422756201,1909018076,659219415,585540178,677538892,1731888580,1220328986,1365080714,1507322458,2002841011,1724286631,1783372592,1924820134,OYAKC
3B,Sürdürülen Faaliyetler,Continuing Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
3C,Satış Gelirleri,Net Sales,118642179,316351660,514414585,1583672462,444958249,907303691,1381923160,1860122207,364176799,778374168,1292357594,1695276783,285603092,623509913,1048925323,OYAKC
3CA,Satışların Maliyeti (-),Cost Of Sales,-93947373,-227884119,-371169514,-1195062012,-312337042,-612667383,-954509166,-1298196750,-279005053,-572407425,-932264176,-1213291173,-212063687,-471008152,-770306592,OYAKC
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,24694806,88467540,143245071,388610450,132621207,294636309,427413994,561925457,85171746,205966743,360093419,481985610,73539405,152501761,278618731,OYAKC
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),24694806,88467540,143245071,388610450,132621207,294636309,427413994,561925457,85171746,205966743,360093419,481985610,73539405,152501761,278618731,OYAKC
