FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,SOKM,278122553,277563992,256891054,284544662,267782405,272451032,277000165,192116097,186001867,177873095,177709068,599865020,196011838,166719355,176227087,581132094,431598351,481762871,483240736,620332252,505962500,513040507,536739495
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,SOKM,171725190,170757397,158215497,181992148,171689606,178073090,186291810,136955375,144855018,151538886,158412880,499319973,173522369,142236823,140927033,473228512,345678357,394545729,437957356,575154078,472666475,481855560,499585608
1BGA,Şerefiye,Goodwill,SOKM,87987935,84471241,74565759,77911472,69428903,66593751,65106818,43367977,39492113,34694070,31214396,277818387,30180250,22385062,21114730,254773680,185137683,197392309,206839754,266646097,218579831,220193222,226645591
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,SOKM,16334426,15763984,14215129,15184656,13504457,13267043,13199421,9329873,8482566,7704563,7354237,45095517,7771747,6834179,7691678,47989277,33484003,39129160,40458581,52482829,42768651,45115225,46181212
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,SOKM,33295929,30266858,25164045,26588051,20454697,14961314,10070648,17422387,17428065,14628875,42568908,0,49484780,40250928,50826195,0,0,0,0,0,0,0,0
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,SOKM,42,40,0,0,0,0,0,0,0,0,0,0,0,0,0,5181260,0,8530,6610,-0,0,0,0
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,SOKM,927502053,963142898,888180342,1044281321,1008064473,986906695,999300995,729036908,786926845,826171670,872161008,2497737079,1133505135,911189746,1019389681,2610380711,1907481529,2123648902,2096288597,2680847050,2236912978,2255109133,2386345338
1BM,KAYNAKLAR,LIABILITIES,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
